raceId,driverId,lap,position,time,milliseconds,constructor,constructorId,year,race,driverRef,lap_time
84,4,10,2,1:26.435,86435.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.435000
84,4,11,2,1:26.240,86240.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.240000
84,4,12,2,1:26.162,86162.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.162000
84,4,13,2,1:26.695,86695.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.695000
84,4,14,5,1:50.045,110045.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:50.045000
84,4,15,4,1:27.577,87577.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.577000
84,4,16,4,1:27.647,87647.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.647000
84,4,17,4,1:27.085,87085.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.085000
84,4,18,4,1:27.081,87081.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.081000
84,4,19,3,1:26.788,86788.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.788000
84,4,20,4,1:29.403,89403.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:29.403000
84,4,21,4,1:26.897,86897.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.897000
84,4,22,3,1:27.002,87002.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:27.002000
84,4,23,3,1:26.569,86569.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.569000
84,4,24,3,1:26.630,86630.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.630000
84,4,25,3,1:26.553,86553.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.553000
84,4,26,3,1:26.534,86534.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.534000
84,4,27,3,1:26.518,86518.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.518000
84,4,28,3,1:26.194,86194.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.194000
84,4,29,3,1:26.316,86316.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.316000
84,4,30,3,1:26.439,86439.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.439000
84,4,31,3,1:25.790,85790.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:25.790000
84,4,32,3,1:25.563,85563.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:25.563000
84,4,33,3,1:26.242,86242.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.242000
84,4,34,3,1:26.385,86385.0,Renault,4,2005,Turkish GP 2005,alonso,0 days 00:01:26.385000
